window_index,symbol,environment,scene_root_id,anchor_ob_id,partner_ob_id,pair_type,partner_timing,pair_known_at,departure_at,zone_low,zone_high,planned_entry,target_id,target_price,formation_stop,protected_stop,side
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:long:2025-01-01T00:00:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2024-12-31T23:45:00+00:00:2025-01-01T00:00:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2024-12-31T23:35:00+00:00:2024-12-31T23:40:00+00:00,m15_m5,at_anchor_close,2025-01-01T00:15:00+00:00,2025-01-01T00:15:00+00:00,3335.61,3336.12,3336.12,ETHUSDT:15m:ob:simple_2c:short:2024-12-31T20:15:00+00:00:2024-12-31T20:30:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2024-12-31T21:45:00+00:00:2024-12-31T22:00:00+00:00|ETHUSDT:15m:pivot:high:2024-12-31T21:45:00+00:00:3353.28|ETHUSDT:1h:ob:simple_2c:short:2024-12-31T21:00:00+00:00:2024-12-31T22:00:00+00:00,3344.88,3333.92,3326.16,long
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:long:2025-01-03T00:15:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-01-02T23:45:00+00:00:2025-01-03T00:00:00+00:00:2025-01-03T00:15:00+00:00,ETHUSDT:1h:ob:double_3c:long:2025-01-02T21:00:00+00:00:2025-01-02T22:00:00+00:00:2025-01-02T23:00:00+00:00,h1_m15,at_anchor_close,2025-01-03T00:30:00+00:00,2025-01-03T00:30:00+00:00,3449.52,3453.45,3453.45,ETHUSDT:1h:fvg:short:2025-01-02T19:00:00+00:00:2025-01-02T20:00:00+00:00:2025-01-02T21:00:00+00:00,3455.21,3444.7,3419.64,long
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:long:2025-01-06T05:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-01-06T05:00:00+00:00:2025-01-06T05:15:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-01-06T05:00:00+00:00:2025-01-06T05:05:00+00:00,m15_m5,at_anchor_close,2025-01-06T05:30:00+00:00,2025-01-06T05:30:00+00:00,3669.3,3671.21,3671.21,ETHUSDT:1h:pivot:high:2025-01-06T02:00:00+00:00:3685,3685.0,3665.82,3659.17,long
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:long:2025-01-11T20:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-01-11T20:00:00+00:00:2025-01-11T20:15:00+00:00,ETHUSDT:5m:ob:double_3c:long:2025-01-11T20:05:00+00:00:2025-01-11T20:10:00+00:00:2025-01-11T20:15:00+00:00,m15_m5,at_anchor_close,2025-01-11T20:30:00+00:00,2025-01-11T20:30:00+00:00,3276.21,3277.4,3277.4,ETHUSDT:15m:ob:double_3c:short:2025-01-10T19:30:00+00:00:2025-01-10T19:45:00+00:00:2025-01-10T20:00:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2025-01-10T19:45:00+00:00:2025-01-10T20:00:00+00:00|ETHUSDT:1h:ob:simple_2c:short:2025-01-10T19:00:00+00:00:2025-01-10T20:00:00+00:00,3285.01,3273.69,3267.26,long
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:long:2025-01-12T13:45:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-01-12T13:30:00+00:00:2025-01-12T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-01-12T13:40:00+00:00:2025-01-12T13:45:00+00:00,m15_m5,at_anchor_close,2025-01-12T14:00:00+00:00,2025-01-12T14:00:00+00:00,3258.54,3259.05,3259.05,ETHUSDT:15m:ob:simple_2c:short:2025-01-12T08:00:00+00:00:2025-01-12T08:15:00+00:00,3265.26,3254.99,3246.67,long
0,ETHUSDT,eth_transition,ETHUSDT:v06-owned-m15:short:2025-01-12T21:00:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-01-12T20:45:00+00:00:2025-01-12T21:00:00+00:00,ETHUSDT:5m:ob:simple_2c:short:2025-01-12T20:55:00+00:00:2025-01-12T21:00:00+00:00,m15_m5,at_anchor_close,2025-01-12T21:15:00+00:00,2025-01-12T21:15:00+00:00,3278.67,3280.14,3278.67,ETHUSDT:15m:fvg:long:2025-01-12T15:00:00+00:00:2025-01-12T15:15:00+00:00:2025-01-12T15:30:00+00:00,3275.93,3281.4700000000003,3288.6400000000003,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-08T14:45:00+00:00,ETHUSDT:15m:ob:double_3c:short:2025-07-08T14:15:00+00:00:2025-07-08T14:30:00+00:00:2025-07-08T14:45:00+00:00,ETHUSDT:5m:ob:simple_2c:short:2025-07-08T14:40:00+00:00:2025-07-08T14:45:00+00:00,m15_m5,at_anchor_close,2025-07-08T15:00:00+00:00,2025-07-08T15:00:00+00:00,2576.41,2577.99,2576.41,ETHUSDT:15m:fvg:long:2025-07-08T09:45:00+00:00:2025-07-08T10:00:00+00:00:2025-07-08T10:15:00+00:00|ETHUSDT:15m:fvg:long:2025-07-08T10:00:00+00:00:2025-07-08T10:15:00+00:00:2025-07-08T10:30:00+00:00|ETHUSDT:15m:fvg:long:2025-07-08T10:15:00+00:00:2025-07-08T10:30:00+00:00:2025-07-08T10:45:00+00:00|ETHUSDT:1h:fvg:long:2025-07-08T09:00:00+00:00:2025-07-08T10:00:00+00:00:2025-07-08T11:00:00+00:00,2561.85,2579.21,2600.49,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-08T23:30:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-08T23:00:00+00:00:2025-07-08T23:15:00+00:00:2025-07-08T23:30:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-08T23:00:00+00:00:2025-07-08T23:05:00+00:00,m15_m5,at_anchor_close,2025-07-08T23:45:00+00:00,2025-07-08T23:45:00+00:00,2609.26,2609.71,2609.71,ETHUSDT:15m:ob:simple_2c:short:2025-07-08T18:45:00+00:00:2025-07-08T19:00:00+00:00|ETHUSDT:1h:ob:simple_2c:short:2025-07-08T18:00:00+00:00:2025-07-08T19:00:00+00:00,2615.97,2606.0,2601.19,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-09T05:30:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-09T05:15:00+00:00:2025-07-09T05:30:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-09T05:25:00+00:00:2025-07-09T05:30:00+00:00,m15_m5,at_anchor_close,2025-07-09T05:45:00+00:00,2025-07-09T05:45:00+00:00,2604.9,2606.96,2606.96,ETHUSDT:4h:ob:simple_2c:short:2025-07-08T20:00:00+00:00:2025-07-09T00:00:00+00:00,2609.67,2603.99,2588.65,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-10T12:00:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-07-10T11:45:00+00:00:2025-07-10T12:00:00+00:00,ETHUSDT:5m:ob:double_3c:short:2025-07-10T11:50:00+00:00:2025-07-10T11:55:00+00:00:2025-07-10T12:00:00+00:00,m15_m5,at_anchor_close,2025-07-10T12:15:00+00:00,2025-07-10T12:15:00+00:00,2775.47,2777.73,2775.47,ETHUSDT:1h:fvg:long:2025-07-10T00:00:00+00:00:2025-07-10T01:00:00+00:00:2025-07-10T02:00:00+00:00,2773.0,2778.53,2786.1600000000003,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-11T07:45:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-07-11T07:30:00+00:00:2025-07-11T07:45:00+00:00,ETHUSDT:5m:ob:simple_2c:short:2025-07-11T07:40:00+00:00:2025-07-11T07:45:00+00:00,m15_m5,at_anchor_close,2025-07-11T08:00:00+00:00,2025-07-11T08:00:00+00:00,2998.16,2999.55,2998.16,ETHUSDT:15m:fvg:long:2025-07-11T04:30:00+00:00:2025-07-11T04:45:00+00:00:2025-07-11T05:00:00+00:00,2966.54,3002.4300000000003,3029.1400000000003,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-11T13:15:00+00:00:2025-07-11T13:30:00+00:00:2025-07-11T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-11T13:50:00+00:00:2025-07-11T13:55:00+00:00,m15_m5,at_anchor_close,2025-07-11T14:00:00+00:00,2025-07-11T14:00:00+00:00,2990.36,2994.96,2994.96,ETHUSDT:15m:ob:simple_2c:short:2025-07-11T09:30:00+00:00:2025-07-11T09:45:00+00:00,3015.01,2975.05,2969.51,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-11T21:30:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-07-11T21:15:00+00:00:2025-07-11T21:30:00+00:00,ETHUSDT:5m:ob:simple_2c:short:2025-07-11T21:25:00+00:00:2025-07-11T21:30:00+00:00,m15_m5,at_anchor_close,2025-07-11T21:45:00+00:00,2025-07-11T21:45:00+00:00,2993.06,2995.75,2993.06,ETHUSDT:15m:fvg:long:2025-07-10T21:00:00+00:00:2025-07-10T21:15:00+00:00:2025-07-10T21:30:00+00:00|ETHUSDT:15m:fvg:long:2025-07-11T01:00:00+00:00:2025-07-11T01:15:00+00:00:2025-07-11T01:30:00+00:00|ETHUSDT:15m:ob:simple_2c:long:2025-07-11T01:30:00+00:00:2025-07-11T01:45:00+00:00|ETHUSDT:15m:pivot:low:2025-07-11T00:15:00+00:00:2913.33|ETHUSDT:15m:pivot:low:2025-07-11T16:00:00+00:00:2936.04|ETHUSDT:1h:fvg:long:2025-07-10T20:00:00+00:00:2025-07-10T21:00:00+00:00:2025-07-10T22:00:00+00:00|ETHUSDT:1h:fvg:long:2025-07-11T16:00:00+00:00:2025-07-11T17:00:00+00:00:2025-07-11T18:00:00+00:00|ETHUSDT:1h:ob:simple_2c:long:2025-07-11T00:00:00+00:00:2025-07-11T01:00:00+00:00|ETHUSDT:1h:pivot:low:2025-07-11T00:00:00+00:00:2913.33|ETHUSDT:1h:pivot:low:2025-07-11T16:00:00+00:00:2936.04|ETHUSDT:4h:fvg:long:2025-07-10T16:00:00+00:00:2025-07-10T20:00:00+00:00:2025-07-11T00:00:00+00:00|ETHUSDT:4h:ob:double_3c:long:2025-07-11T08:00:00+00:00:2025-07-11T12:00:00+00:00:2025-07-11T16:00:00+00:00|ETHUSDT:4h:ob:simple_2c:long:2025-07-11T12:00:00+00:00:2025-07-11T16:00:00+00:00,2983.79,2996.73,3009.76,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-12T23:45:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-12T23:30:00+00:00:2025-07-12T23:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-12T23:40:00+00:00:2025-07-12T23:45:00+00:00,m15_m5,at_anchor_close,2025-07-13T00:00:00+00:00,2025-07-13T00:00:00+00:00,2933.48,2934.61,2934.61,ETHUSDT:15m:fvg:short:2025-07-12T11:45:00+00:00:2025-07-12T12:00:00+00:00:2025-07-12T12:15:00+00:00|ETHUSDT:15m:fvg:short:2025-07-12T12:00:00+00:00:2025-07-12T12:15:00+00:00:2025-07-12T12:30:00+00:00|ETHUSDT:15m:fvg:short:2025-07-12T12:15:00+00:00:2025-07-12T12:30:00+00:00:2025-07-12T12:45:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2025-07-12T14:15:00+00:00:2025-07-12T14:30:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2025-07-12T19:00:00+00:00:2025-07-12T19:15:00+00:00|ETHUSDT:15m:pivot:high:2025-07-12T14:00:00+00:00:2948.96|ETHUSDT:1h:fvg:short:2025-07-12T11:00:00+00:00:2025-07-12T12:00:00+00:00:2025-07-12T13:00:00+00:00|ETHUSDT:4h:fvg:short:2025-07-12T08:00:00+00:00:2025-07-12T12:00:00+00:00:2025-07-12T16:00:00+00:00,2941.32,2932.69,2929.29,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-14T09:30:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-14T09:15:00+00:00:2025-07-14T09:30:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-14T09:25:00+00:00:2025-07-14T09:30:00+00:00,m15_m5,at_anchor_close,2025-07-14T09:45:00+00:00,2025-07-14T09:45:00+00:00,3041.45,3043.82,3043.82,ETHUSDT:1h:pivot:high:2025-07-14T05:00:00+00:00:3066.21,3066.21,3034.24,3022.11,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-16T06:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-16T06:00:00+00:00:2025-07-16T06:15:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-16T06:10:00+00:00:2025-07-16T06:15:00+00:00,m15_m5,at_anchor_close,2025-07-16T06:30:00+00:00,2025-07-16T06:30:00+00:00,3133.47,3139.81,3139.81,ETHUSDT:1h:pivot:high:2025-07-16T00:00:00+00:00:3155.44,3155.44,3132.26,3100.99,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-18T08:30:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-07-18T08:15:00+00:00:2025-07-18T08:30:00+00:00,ETHUSDT:5m:ob:simple_2c:short:2025-07-18T08:25:00+00:00:2025-07-18T08:30:00+00:00,m15_m5,at_anchor_close,2025-07-18T08:45:00+00:00,2025-07-18T08:45:00+00:00,3625.8,3626.6,3625.8,ETHUSDT:1h:ob:simple_2c:long:2025-07-18T03:00:00+00:00:2025-07-18T04:00:00+00:00,3603.01,3631.95,3671.91,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-19T19:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-19T19:00:00+00:00:2025-07-19T19:15:00+00:00,ETHUSDT:1h:ob:simple_2c:long:2025-07-18T20:00:00+00:00:2025-07-18T21:00:00+00:00,h1_m15,at_anchor_close,2025-07-19T19:30:00+00:00,2025-07-19T19:30:00+00:00,3551.1,3551.31,3551.31,ETHUSDT:1h:ob:simple_2c:short:2025-07-19T16:00:00+00:00:2025-07-19T17:00:00+00:00,3552.52,3541.54,3532.01,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:short:2025-07-20T22:00:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-07-20T21:45:00+00:00:2025-07-20T22:00:00+00:00,ETHUSDT:5m:ob:double_3c:short:2025-07-20T21:50:00+00:00:2025-07-20T21:55:00+00:00:2025-07-20T22:00:00+00:00,m15_m5,at_anchor_close,2025-07-20T22:15:00+00:00,2025-07-20T22:15:00+00:00,3767.95,3770.75,3767.95,ETHUSDT:1h:ob:simple_2c:long:2025-07-20T20:00:00+00:00:2025-07-20T21:00:00+00:00,3749.38,3773.71,3773.76,short
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-21T14:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-21T14:00:00+00:00:2025-07-21T14:15:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-21T14:10:00+00:00:2025-07-21T14:15:00+00:00,m15_m5,at_anchor_close,2025-07-21T14:30:00+00:00,2025-07-21T14:30:00+00:00,3811.9,3813.81,3813.81,ETHUSDT:1h:pivot:high:2025-07-21T11:00:00+00:00:3842.68,3842.68,3794.99,3776.05,long
1,ETHUSDT,eth_up,ETHUSDT:v06-owned-m15:long:2025-07-21T23:15:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-07-21T23:00:00+00:00:2025-07-21T23:15:00+00:00,ETHUSDT:1h:ob:simple_2c:long:2025-07-21T21:00:00+00:00:2025-07-21T22:00:00+00:00,h1_m15,at_anchor_close,2025-07-21T23:30:00+00:00,2025-07-21T23:30:00+00:00,3755.99,3756.55,3756.55,ETHUSDT:15m:fvg:short:2025-07-21T18:15:00+00:00:2025-07-21T18:30:00+00:00:2025-07-21T18:45:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2025-07-21T22:30:00+00:00:2025-07-21T22:45:00+00:00|ETHUSDT:15m:pivot:high:2025-07-21T22:45:00+00:00:3782.76|ETHUSDT:1h:ob:simple_2c:short:2025-07-21T17:00:00+00:00:2025-07-21T18:00:00+00:00,3760.6,3749.34,3716.47,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:short:2026-01-25T06:00:00+00:00,BTCUSDT:15m:ob:double_3c:short:2026-01-25T05:30:00+00:00:2026-01-25T05:45:00+00:00:2026-01-25T06:00:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-01-25T05:25:00+00:00:2026-01-25T05:30:00+00:00,m15_m5,at_anchor_close,2026-01-25T06:15:00+00:00,2026-01-25T06:15:00+00:00,88950.9,88953.7,88950.9,BTCUSDT:1h:pivot:low:2026-01-25T03:00:00+00:00:88800.1,88800.1,88968.1,89074.6,short
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-01-26T00:45:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-01-26T00:30:00+00:00:2026-01-26T00:45:00+00:00,BTCUSDT:5m:ob:double_3c:long:2026-01-26T00:35:00+00:00:2026-01-26T00:40:00+00:00:2026-01-26T00:45:00+00:00,m15_m5,at_anchor_close,2026-01-26T01:00:00+00:00,2026-01-26T01:00:00+00:00,86587.8,86676.7,86676.7,BTCUSDT:15m:fvg:short:2026-01-25T15:45:00+00:00:2026-01-25T16:00:00+00:00:2026-01-25T16:15:00+00:00|BTCUSDT:15m:fvg:short:2026-01-25T19:00:00+00:00:2026-01-25T19:15:00+00:00:2026-01-25T19:30:00+00:00|BTCUSDT:15m:ob:double_3c:short:2026-01-25T16:30:00+00:00:2026-01-25T16:45:00+00:00:2026-01-25T17:00:00+00:00|BTCUSDT:15m:ob:simple_2c:short:2026-01-25T16:45:00+00:00:2026-01-25T17:00:00+00:00|BTCUSDT:15m:ob:simple_2c:short:2026-01-25T17:30:00+00:00:2026-01-25T17:45:00+00:00|BTCUSDT:15m:pivot:high:2026-01-26T00:15:00+00:00:87150|BTCUSDT:1h:fvg:short:2026-01-25T15:00:00+00:00:2026-01-25T16:00:00+00:00:2026-01-25T17:00:00+00:00|BTCUSDT:1h:fvg:short:2026-01-25T17:00:00+00:00:2026-01-25T18:00:00+00:00:2026-01-25T19:00:00+00:00|BTCUSDT:4h:fvg:short:2026-01-25T12:00:00+00:00:2026-01-25T16:00:00+00:00:2026-01-25T20:00:00+00:00,86785.9,86446.7,86031.29999999999,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-01-27T02:30:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-01-27T02:15:00+00:00:2026-01-27T02:30:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-01-27T02:25:00+00:00:2026-01-27T02:30:00+00:00,m15_m5,at_anchor_close,2026-01-27T02:45:00+00:00,2026-01-27T02:45:00+00:00,88527.4,88590.2,88590.2,BTCUSDT:15m:ob:simple_2c:short:2026-01-25T15:15:00+00:00:2026-01-25T15:30:00+00:00,88696.3,88510.2,88149.9,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-01-27T12:00:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-01-27T11:45:00+00:00:2026-01-27T12:00:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-01-27T11:35:00+00:00:2026-01-27T11:40:00+00:00,m15_m5,at_anchor_close,2026-01-27T12:15:00+00:00,2026-01-27T12:15:00+00:00,87937.0,87949.7,87949.7,BTCUSDT:15m:fvg:short:2026-01-27T08:45:00+00:00:2026-01-27T09:00:00+00:00:2026-01-27T09:15:00+00:00|BTCUSDT:1h:fvg:short:2026-01-27T08:00:00+00:00:2026-01-27T09:00:00+00:00:2026-01-27T10:00:00+00:00,88038.1,87905.5,87688.0,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-01-27T14:00:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-01-27T13:45:00+00:00:2026-01-27T14:00:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-01-27T13:55:00+00:00:2026-01-27T14:00:00+00:00,m15_m5,at_anchor_close,2026-01-27T14:15:00+00:00,2026-01-27T14:15:00+00:00,87932.3,87933.6,87933.6,BTCUSDT:1h:ob:simple_2c:short:2026-01-27T12:00:00+00:00:2026-01-27T13:00:00+00:00,87937.0,87824.29999999999,87688.0,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:short:2026-01-28T02:30:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-01-28T02:15:00+00:00:2026-01-28T02:30:00+00:00,BTCUSDT:5m:ob:double_3c:short:2026-01-28T02:20:00+00:00:2026-01-28T02:25:00+00:00:2026-01-28T02:30:00+00:00,m15_m5,at_anchor_close,2026-01-28T02:45:00+00:00,2026-01-28T02:45:00+00:00,89250.0,89294.1,89250.0,BTCUSDT:15m:fvg:long:2026-01-27T19:45:00+00:00:2026-01-27T20:00:00+00:00:2026-01-27T20:15:00+00:00|BTCUSDT:15m:fvg:long:2026-01-27T20:00:00+00:00:2026-01-27T20:15:00+00:00:2026-01-27T20:30:00+00:00|BTCUSDT:15m:ob:simple_2c:long:2026-01-27T19:45:00+00:00:2026-01-27T20:00:00+00:00|BTCUSDT:15m:ob:simple_2c:long:2026-01-27T20:30:00+00:00:2026-01-27T20:45:00+00:00|BTCUSDT:15m:pivot:low:2026-01-27T21:45:00+00:00:88968.9|BTCUSDT:15m:pivot:low:2026-01-28T00:00:00+00:00:89100.1|BTCUSDT:1h:fvg:long:2026-01-27T19:00:00+00:00:2026-01-27T20:00:00+00:00:2026-01-27T21:00:00+00:00,89107.4,89342.90000000001,89460.5,short
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-01-28T17:30:00+00:00,BTCUSDT:15m:ob:double_3c:long:2026-01-28T17:00:00+00:00:2026-01-28T17:15:00+00:00:2026-01-28T17:30:00+00:00,BTCUSDT:1h:ob:simple_2c:long:2026-01-28T15:00:00+00:00:2026-01-28T16:00:00+00:00,h1_m15,at_anchor_close,2026-01-28T17:45:00+00:00,2026-01-28T17:45:00+00:00,89553.6,89571.4,89571.4,BTCUSDT:15m:fvg:short:2026-01-28T14:15:00+00:00:2026-01-28T14:30:00+00:00:2026-01-28T14:45:00+00:00|BTCUSDT:1h:fvg:short:2026-01-28T13:00:00+00:00:2026-01-28T14:00:00+00:00:2026-01-28T15:00:00+00:00,89743.3,89207.59999999999,88836.2,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:short:2026-01-29T08:00:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-01-29T07:45:00+00:00:2026-01-29T08:00:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-01-29T05:00:00+00:00:2026-01-29T05:05:00+00:00,m15_m5,at_anchor_close,2026-01-29T08:15:00+00:00,2026-01-29T08:15:00+00:00,88299.4,88314.5,88299.4,BTCUSDT:1h:ob:simple_2c:long:2026-01-29T05:00:00+00:00:2026-01-29T06:00:00+00:00,88264.1,88388.6,88348.70000000001,short
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:short:2026-01-29T11:15:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-01-29T11:00:00+00:00:2026-01-29T11:15:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-01-29T11:10:00+00:00:2026-01-29T11:15:00+00:00,m15_m5,at_anchor_close,2026-01-29T11:30:00+00:00,2026-01-29T11:30:00+00:00,87967.1,87979.6,87967.1,BTCUSDT:15m:fvg:long:2026-01-27T17:45:00+00:00:2026-01-27T18:00:00+00:00:2026-01-27T18:15:00+00:00|BTCUSDT:15m:pivot:low:2026-01-29T02:45:00+00:00:87650|BTCUSDT:1h:pivot:low:2026-01-29T02:00:00+00:00:87650|BTCUSDT:4h:ob:simple_2c:long:2026-01-26T12:00:00+00:00:2026-01-26T16:00:00+00:00,87816.0,88021.20000000001,88458.90000000001,short
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-02-01T00:00:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-01-31T23:45:00+00:00:2026-02-01T00:00:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-01-31T23:55:00+00:00:2026-02-01T00:00:00+00:00,m15_m5,at_anchor_close,2026-02-01T00:15:00+00:00,2026-02-01T00:15:00+00:00,78704.4,78722.9,78722.9,BTCUSDT:15m:fvg:short:2026-01-31T16:30:00+00:00:2026-01-31T16:45:00+00:00:2026-01-31T17:00:00+00:00|BTCUSDT:15m:fvg:short:2026-01-31T16:45:00+00:00:2026-01-31T17:00:00+00:00:2026-01-31T17:15:00+00:00|BTCUSDT:15m:ob:simple_2c:short:2026-01-31T16:15:00+00:00:2026-01-31T16:30:00+00:00|BTCUSDT:1h:fvg:short:2026-01-31T15:00:00+00:00:2026-01-31T16:00:00+00:00:2026-01-31T17:00:00+00:00|BTCUSDT:1h:fvg:short:2026-01-31T16:00:00+00:00:2026-01-31T17:00:00+00:00:2026-01-31T18:00:00+00:00|BTCUSDT:4h:fvg:short:2026-01-31T12:00:00+00:00:2026-01-31T16:00:00+00:00:2026-01-31T20:00:00+00:00,79096.8,78610.9,77954.7,long
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:short:2026-02-01T05:30:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-02-01T05:15:00+00:00:2026-02-01T05:30:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-02-01T05:25:00+00:00:2026-02-01T05:30:00+00:00,m15_m5,at_anchor_close,2026-02-01T05:45:00+00:00,2026-02-01T05:45:00+00:00,78855.3,78900.4,78855.3,BTCUSDT:1h:ob:simple_2c:long:2026-02-01T03:00:00+00:00:2026-02-01T04:00:00+00:00,78847.0,78951.70000000001,79074.40000000001,short
2,BTCUSDT,btc_down_high_vol,BTCUSDT:v06-owned-m15:long:2026-02-01T09:30:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-02-01T09:15:00+00:00:2026-02-01T09:30:00+00:00,BTCUSDT:5m:ob:double_3c:long:2026-02-01T09:20:00+00:00:2026-02-01T09:25:00+00:00:2026-02-01T09:30:00+00:00,m15_m5,at_anchor_close,2026-02-01T09:45:00+00:00,2026-02-01T09:45:00+00:00,78633.9,78698.3,78698.3,BTCUSDT:15m:ob:simple_2c:short:2026-02-01T05:15:00+00:00:2026-02-01T05:30:00+00:00|BTCUSDT:1h:ob:double_3c:short:2026-02-01T03:00:00+00:00:2026-02-01T04:00:00+00:00:2026-02-01T05:00:00+00:00|BTCUSDT:1h:ob:simple_2c:short:2026-02-01T04:00:00+00:00:2026-02-01T05:00:00+00:00|BTCUSDT:4h:ob:simple_2c:short:2026-02-01T00:00:00+00:00:2026-02-01T04:00:00+00:00,78704.4,78584.59999999999,78219.9,long
